Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Crab Cakes,Starters,Lunch; Dinner,Rémoulade Sauce and Petite Apple-Arugula Salad,18.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Gumbo,Starters,Lunch; Dinner,"Chicken, Tasso Ham, Andouille Sausage and Peppers with Steamed Rice",12.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Garlic Cheese Dip with Sourdough Boule,Starters,Lunch; Dinner,"Sourdough Boule, Garlic Confit and Cheesy Grits",15.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Ribeye*,Entrées,Lunch; Dinner,"Herb Mashed Potatoes, Bacon Braised Swiss Chard and Spanish Butter",61.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Market Fish*,Entrées,Lunch; Dinner,"Crab Rice, Pickled Fruit Chow Chow, Sautéed Greens and Citrus Tea Vinaigrette",50.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Lacquered Chicken,Entrées,Lunch; Dinner,"Spoon Bread, Sautéed Greens, Kumquat Chow Chow and Sauce à l’orange",48.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Monte Cristo,Entrées,Lunch,"Truffle Potato Chips, Roasted Fruit Salad and Seasonal Preserves",34.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,French Quarter Fields,Plant-Based,Lunch; Dinner,"Field Greens, Farmers Market Vegetables, Sunflower Seeds and Sensation Salad Dressing",15.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Magnolia Park Pasta,Plant-Based,Lunch; Dinner,"Peppers, Okra and Mushrooms with a Piquant Creamy Tomato Sauce",35.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Crème Brûlée Tart,Plant-Based,Lunch; Dinner,Vanilla Bean Crème Brûlée in a Tart Shell,10.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Chocolate Fudge Cake,Desserts,Lunch; Dinner,Layers of Chocolate Sponge Cake and Chocolate Fudge Frosting,13.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Petite Sundae,Desserts,Lunch; Dinner,Sprinkles and Chocolate Syrup,9.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Whole-Grain Pasta,Kids' Create-Your-Own Entrées (choose one),Lunch; Dinner,served with Choice of Two (2) Selections and choice of Small Low-fat Milk or Small DASANI® Water. Meets Disney Nutrition Guidelines for Complete Meals without substitutions,12.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Sautéed Shrimp,Kids' Create-Your-Own Entrées (choose one),Lunch; Dinner,Served with Choice of Two (2) Selections and choice of Small Low-fat Milk or Small DASANI® Water. Meets Disney Nutritional Guidelines for Complete Meals without substitutions,14.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Chicken Strips,Kids' Create-Your-Own Entrées (choose one),Lunch; Dinner,Served with Choice of Two (2) Selections and choice of Small Low-fat Milk or Small DASANI® Water. Meets Disney Nutritional Guidelines for Complete Meals without substitutions,12.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Schramsberg Blanc de Blancs,Sparkling Wine,Lunch; Dinner,"Napa Valley, California",24.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Ste Michelle, Riesling",White Wine,Lunch; Dinner,"Columbia Valley, Washington",17.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Frank Family Vineyards, Chardonnay",White Wine,Lunch; Dinner,"Carneros, California",21.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Abbazia di Novacella, Pinot Grigio",White Wine,Lunch; Dinner,"Alto Adige, Italy",14.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Far Niente Chardonnay,White Wine,Lunch; Dinner,"Napa Valley, California",40.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Duckhorn Vineyards, Sauvignon Blanc",White Wine,Lunch; Dinner,"Napa Valley, California",17.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Flowers Vineyards, Pinot Noir",Red Wine,Lunch; Dinner,"Sonoma Coast, California",25.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Villa Antinori, Riserva, Chianti Classico DOCG",Red Wine,Lunch; Dinner,"Tuscany, Italy",20.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Sterling Vineyards, Merlot",Red Wine,Lunch; Dinner,"Napa Valley, California",17.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Sinegal, Cabernet Sauvignon",Red Wine,Lunch; Dinner,"Napa Valley, California",45.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Fonseca Ruby Port,Red Wine,Lunch; Dinner,Portugal,8.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Karl Strauss® Brewing Co., Red Trolley Ale",Draft Beer,Lunch; Dinner,"San Diego, CA (ABV 5.8%)",15.75,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,"Abita Brewing Company, Amber Lager",Draft Beer,Lunch; Dinner,"Covington, LA (ABV 4.5%)",14.75,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Crowns & Hops The Dopest Hazy IPA,Draft Beer,Lunch; Dinner,"Inglewood, CA (ABV 6.8%)",15.75,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Brewery X S.O.K. Mexican Lager,Draft Beer,Lunch; Dinner,"Anaheim, California (ABV 4.9%)",15.75,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Southern Sunset Old Fashioned,Signature Cocktails,Lunch; Dinner,"Bourbon, Vermont Maple Syrup, Black Walnut Bitters and and Orange Wheel",22.00,disneyland/blue-bayou-restaurant
2026-09-26,Blue Bayou Restaurant,Disneyland Park,Espresso Martini,Signature Cocktails,Lunch; Dinner,Joffrey’s™ Cold Brew Coffee with Vodka and Chocolate Liqueur,21.00,disneyland/blue-bayou-restaurant
