Detected,Restaurant,Park,Item,Category,Old Price,New Price,Change,Percent,Source
2026-08-07 03:47,Hearthstone Lounge,Grand Californian Hotel,Curious Cabin,Craft Cocktails,20.75,21.75,1.00,4.8%,grand-californian-hotel/hearthstone-lounge
2026-08-07 03:47,Hearthstone Lounge,Grand Californian Hotel,The Dilemma,Craft Cocktails,40.00,42.00,2.00,5.0%,grand-californian-hotel/hearthstone-lounge
2026-08-07 03:47,Hearthstone Lounge,Grand Californian Hotel,Orchard Swig,Non-Alcoholic Specialty Beverages,9.00,10.25,1.25,13.9%,grand-californian-hotel/hearthstone-lounge
2026-08-07 03:47,Hearthstone Lounge,Grand Californian Hotel,"Courvoisier, VS, Cognac",Specialty Spirits,18.00,20.00,2.00,11.1%,grand-californian-hotel/hearthstone-lounge
2026-08-07 03:47,Hearthstone Lounge,Grand Californian Hotel,"Del Maguey, Vida, Mezcal",Specialty Spirits,19.00,20.00,1.00,5.3%,grand-californian-hotel/hearthstone-lounge
2026-08-07 03:47,Hearthstone Lounge,Grand Californian Hotel,"Don Julio, Añejo",Specialty Spirits,19.00,20.00,1.00,5.3%,grand-californian-hotel/hearthstone-lounge
2026-08-07 03:47,Hearthstone Lounge,Grand Californian Hotel,"Pàtron, Silver",Specialty Spirits,20.00,21.00,1.00,5.0%,grand-californian-hotel/hearthstone-lounge
2026-09-01 12:18,Palm Breeze Bar,Disneyland Hotel,Hoagie of the Month,Sandwiches,25.00,18.00,-7.00,-28.0%,disneyland-hotel/palm-breeze-bar
2026-09-03 05:25,Rancho del Zocalo Restaurante,Disneyland Park,Burrito Sonora with Chicken,Entrées,13.99,15.49,1.50,10.7%,disneyland/rancho-del-zocalo-restaurante
2026-09-03 05:25,Rancho del Zocalo Restaurante,Disneyland Park,Pollo Asado,Entrées,17.99,19.99,2.00,11.1%,disneyland/rancho-del-zocalo-restaurante
2026-09-10 21:20,Jolly Holiday Bakery Cafe,Disneyland Park,Minute Maid® Apple Juice - 16 oz,Beverages,6.49,5.49,-1.00,-15.4%,disneyland/jolly-holiday-bakery-cafe
2026-09-10 21:20,Jolly Holiday Bakery Cafe,Disneyland Park,Cuties® Mandarin Orange,Sides,1.99,2.49,0.50,25.1%,disneyland/jolly-holiday-bakery-cafe
2026-09-10 21:20,Jolly Holiday Bakery Cafe,Disneyland Park,House-made Chips,Sides,4.29,3.99,-0.30,-7.0%,disneyland/jolly-holiday-bakery-cafe
2026-09-10 21:20,Alien Pizza Planet,Disneyland Park,Spaghetti & Meatballs,Pasta,13.49,14.79,1.30,9.6%,disneyland/alien-pizza-planet
2026-09-10 21:20,Alien Pizza Planet,Disneyland Park,Whole Pepperoni Pizza Family Combo,Pizza,88.99,88.49,-0.50,-0.6%,disneyland/alien-pizza-planet
2026-09-10 21:20,Alien Pizza Planet,Disneyland Park,Alien Pizza Planet Sipper,Lunar Liquids,19.49,18.49,-1.00,-5.1%,disneyland/alien-pizza-planet
2026-09-10 21:20,Pym Test Kitchen,Disney California Adventure,Glowing Pym Particle Capsule,Novelties,7.49,6.99,-0.50,-6.7%,disney-california-adventure/pym-test-kitchen
2026-09-10 21:20,Pym Test Kitchen,Disney California Adventure,Glowing Pym Particle Disc,Novelties,7.49,6.99,-0.50,-6.7%,disney-california-adventure/pym-test-kitchen
2026-09-10 21:20,Smokejumpers Grill,Disney California Adventure,Simply Orange®,Breakfast Beverages ,5.29,5.59,0.30,5.7%,disney-california-adventure/smokejumpers-grill
2026-09-10 21:20,Tangaroa Terrace Tropical Bar & Grill,Disneyland Hotel,Kids' Power Pack,Kids' Disney Check Meals,7.00,7.50,0.50,7.1%,disneyland-hotel/tangaroa-terrace
2026-09-10 21:20,Tangaroa Terrace Tropical Bar & Grill,Disneyland Hotel,Power Pack,Disney Check Meals,7.00,7.50,0.50,7.1%,disneyland-hotel/tangaroa-terrace
